Id,Story,Labels,Iteration,Iteration Start,Iteration End,Story Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By
73684244,Print the number of elements in the numbers array,"",1,"Jun 16, 2014","Jun 22, 2014",feature,1,unstarted,"Jun 22, 2014",,,Hunter Gillane,edit numbers.rb to print the number of elements in the number arrays,https://www.pivotaltracker.com/story/show/73684244,
73684234,Print the largest number in the array,"",1,"Jun 16, 2014","Jun 22, 2014",feature,1,unstarted,"Jun 22, 2014",,,Hunter Gillane,edit numbers.rb to print the largest number in the array,https://www.pivotaltracker.com/story/show/73684234,
73684260,Print the sum of the numbers in the numbers array,"",1,"Jun 16, 2014","Jun 22, 2014",feature,2,unstarted,"Jun 22, 2014",,,Hunter Gillane,edit the numbers.rb file to print out the sum of the numbers in the array,https://www.pivotaltracker.com/story/show/73684260,
73683920,Print the temperature forecast for the next week,"",1,"Jun 16, 2014","Jun 22, 2014",feature,2,unstarted,"Jun 22, 2014",,,Hunter Gillane,"Print the high and low temperatures for each day. For example:

Monday
High: 72, Low: 52
Tuesday
High: 73, Low: 57
...etc

edit the file temperature_forecast.rb",https://www.pivotaltracker.com/story/show/73683920,
